"1268 - Puestos de trabajo (PT)",,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2004","2004/Apr",3742248,3263472,3360769,2138783,12505272,
"2004","2004/Mar",3735150,3255271,3350195,2137913,12478529,
"2004","2004/Feb",3700369,3220778,3311302,2119216,12351665,
"2004","2004/Jan",3687806,3205441,3290415,2110338,12294000,
"2003","2003/Dec",3686994,3192141,3279989,2098457,12257581,
"2003","2003/Nov",3761371,3246399,3326911,2128033,12462714,
"2003","2003/Oct",3744829,3237970,3327917,2116655,12427371,
"2003","2003/Sep",3712410,3210607,3298052,2102272,12323341,
"2003","2003/Aug",3693605,3187441,3261492,2087226,12229764,
"2003","2003/Jul",3703228,3199109,3271181,2096625,12270143,
"2003","2003/Jun",3704502,3203236,3267583,2095305,12270626,
"2003","2003/May",3706554,3210616,3263731,2088155,12269056,
"2003","2003/Apr",3719594,3230520,3274372,2113067,12337553,
"2003","2003/Mar",3715750,3239291,3276235,2116981,12348257,
"2003","2003/Feb",3706273,3236836,3265803,2112684,12321596,
"2003","2003/Jan",3693398,3228787,3252218,2095066,12269469,
"2002","2002/Dec",3696148,3215791,3244680,2075682,12232301,
"2002","2002/Nov",3776500,3282461,3312283,2101373,12472617,
"2002","2002/Oct",3765451,3296743,3307467,2087959,12457620,
"2002","2002/Sep",3747204,3286130,3286638,2080549,12400521,
"2002","2002/Aug",3736837,3268583,3258891,2076151,12340462,
"2002","2002/Jul",3750175,3276786,3265930,2075793,12368684,
"2002","2002/Jun",3727001,3258052,3245114,2057989,12288156,
"2002","2002/May",3735321,3277706,3259131,2065905,12338063,
"2002","2002/Apr",3725054,3277449,3266776,2083411,12352690,
"2002","2002/Mar",3691458,3232289,3233669,2063671,12221087,
"2002","2002/Feb",3708395,3241359,3258786,2066671,12275211,
"2002","2002/Jan",3691397,3228488,3225168,2050460,12195513,
"2001","2001/Dec",3693939,3219687,3215785,2041534,12170945,
"2001","2001/Nov",3792430,3290312,3286630,2082094,12451466,
"2001","2001/Oct",3779343,3291751,3285010,2067415,12423519,
"2001","2001/Sep",3755267,3282712,3267155,2053531,12358665,
"2001","2001/Aug",3767310,3297174,3271420,2070192,12406096,
"2001","2001/Jul",3764671,3308154,3271573,2072178,12416576,
"2001","2001/Jun",3753722,3314460,3277793,2072931,12418906,
"2001","2001/May",3763137,3349580,3297045,2095343,12505105,
"2001","2001/Apr",3762225,3361684,3308171,2102093,12534173,
"2001","2001/Mar",3752813,3370051,3314921,2092465,12530250,
"2001","2001/Feb",3756463,3387156,3336314,2079425,12559358,
"2001","2001/Jan",3744449,3393105,3324756,2063639,12525949,
"2000","2000/Dec",3736755,3365741,3293806,2041458,12437760,
"2000","2000/Nov",3841020,3460122,3387301,2089071,12777514,
"2000","2000/Oct",3818008,3455132,3370947,2080406,12724493,
"2000","2000/Sep",3782824,3422888,3334779,2065165,12605656,
"2000","2000/Aug",3776879,3412313,3309407,2056124,12554723,
"2000","2000/Jul",3763638,3400005,3290334,2040656,12494633,
"2000","2000/Jun",3739488,3373013,3266719,2026338,12405558,
"2000","2000/May",3719131,3349906,3242178,2033848,12345063,
"2000","2000/Apr",3686780,3319461,3220928,2026840,12254009,
"2000","2000/Mar",3685017,3325757,3227264,2020803,12258841,
"2000","2000/Feb",3657186,3294301,3209751,1997195,12158433,
"2000","2000/Jan",3628661,3264616,3169162,1971656,12034095,
"1999","1999/Dec",3606510,3212888,3135764,1949950,11905112,
"1998","1998/Dec",3454982,2986352,2952167,1849729,11243230,
"1997","1997/Dec",3310492,2784077,2746039,1696109,10536717,
"Tiempo","Tiempo",0,0,0,0,0,
